ingredient,qty250,unit
Chickpeas (chole) dried,33,lb
Paneer cubed,22,lb
Tomatoes chopped,22,lb
Mustard seeds (rai),0.22,lb
Cumin seeds (jeera),0.22,lb
Fennel seeds (saunf),0.22,lb
Fenugreek seeds (methi dana),0.11,lb
Dry red chillies,0.22,lb
Curry leaves,0.11,lb
Mustard paste,0.77,lb
Fresh ginger grated or paste,1.65,lb
Green chillies slit,0.55,lb
Asafoetida (hing),0.055,lb
Jaggery,0.44,lb
Tamarind pulp,0.55,lb
Turmeric powder,0.165,lb
Red chilli powder,0.22,lb
Coriander powder,0.33,lb
Cumin powder,0.22,lb
Garam masala,0.22,lb
Black pepper powder,0.11,lb
Black cardamom pods,0.088,lb
Cinnamon sticks,0.055,lb
Cloves,0.044,lb
Bay leaves,25,pieces
Oil,4,lb
Ghee,1.1,lb
Fresh coriander chopped,1.1,lb
