ingredient,qty250,unit
Paneer cubed,22,lb
Green peas (matar) fresh or frozen,22,lb
Tomatoes pureed,22,lb
Cashew nuts (for gravy paste),3.3,lb
Fresh ginger grated or paste,1.32,lb
Green chillies slit,0.44,lb
Asafoetida (hing),0.044,lb
Fresh coriander chopped (garnish),0.88,lb
Fresh cream,4.4,lb
Curd,4.4,lb
Oil / ghee,3.3,lb
Cumin seeds,0.132,lb
Bay leaves,0.012,lb
Cardamom pods,0.066,lb
Cloves,0.044,lb
Cinnamon sticks,0.044,lb
Turmeric powder,0.132,lb
Red chilli powder,0.176,lb
Coriander powder,0.352,lb
Cumin powder,0.176,lb
Garam masala,0.176,lb
Kasuri methi (dried fenugreek),0.088,lb
Sugar,0.088,lb
