ingredient,qty250,unit
Paneer cubed,27.5,lb
Potatoes diced,22,lb
Carrots diced,16.5,lb
Cauliflower florets,16.5,lb
French beans diced,11,lb
Green peas,11,lb
Capsicum / bell pepper,8.25,lb
Pineapple chunks,8.25,lb
Cashew nuts (paste),8.25,lb
Almonds soaked & peeled,2.75,lb
Melon seeds / magaz,750,g
Tomatoes chopped,16.5,lb
Fresh cream,11,lb
Curd / yogurt whisked,11,lb
Fresh ginger paste,750,g
Ghee / oil,5.5,lb
Coriander powder,250,g
Turmeric powder,100,g
Red chilli powder,100,g
Garam masala,100,g
Cumin seeds,75,g
Cardamom powder,50,g
Asafoetida (hing),25,g
Saffron strands(optional),1,g
Sugar,125,g
Cashew nuts whole (garnish),750,g
Raisins (garnish),500,g
