ingredient,qty250,unit
Spinach / palanga saga washed & chopped,44,lb
Yellow moong dal (muga dali) dry roasted,22,lb
Potatoes diced small,8.8,lb
Brinjal / eggplant diced,5.5,lb
Tomatoes chopped,8.8,lb
Mustard seeds (rai),0.22,lb
Cumin seeds (jeera),0.22,lb
Fennel seeds (saunf),0.165,lb
Fenugreek seeds (methi dana),0.088,lb
Dry red chillies whole,0.22,lb
Fresh ginger crushed or paste,1.1,lb
Green chillies slit,0.44,lb
Asafoetida (hing),0.044,lb
Fresh coconut shredded,5.5,lb
Turmeric powder,0.22,lb
Red chilli powder,0.22,lb
Cumin powder,0.22,lb
Coriander powder,0.22,lb
Black pepper powder,0.088,lb
Ghee,1.1,lb
